bureau_id,app_id,account_type,account_age_months,credit_limit,current_balance,months_past_due,account_status
BUR000174,APP200045,Auto Loan,113,7109.46,2643.4,7,Active
BUR000175,APP200045,Mortgage,16,1346.32,711.23,0,Active
BUR000176,APP200045,Personal Loan,169,5891.91,2415.85,0,Closed
BUR000177,APP200045,Retail Card,136,20363.7,5202.61,0,Active
BUR000178,APP200045,Auto Loan,172,906.05,323.3,0,Closed
BUR000179,APP200046,Credit Card,172,6742.12,3150.27,0,Active
BUR000180,APP200046,Student Loan,66,4086.82,2315.49,0,Closed
BUR000181,APP200046,Credit Card,85,265.28,185.86,0,Active
BUR000182,APP200046,Credit Card,112,3589.14,161.77,8,Closed
BUR000183,APP200046,Mortgage,28,264.99,101.6,0,Active
BUR000184,APP200047,Personal Loan,166,6516.43,1003.08,0,Active
BUR000185,APP200047,Auto Loan,154,9610.21,3347.32,0,Active
BUR000186,APP200048,Credit Card,24,8329.8,379.86,0,Active
BUR000187,APP200048,Auto Loan,143,1775.98,433.34,0,Active
BUR000188,APP200049,Credit Card,138,7527.4,3857.5,0,Active
BUR000189,APP200049,Mortgage,11,7955.89,909.8,0,Active
BUR000190,APP200049,Credit Card,54,18434.32,7186.12,0,Closed
BUR000191,APP200049,Personal Loan,28,7888.56,2276.73,0,Active
BUR000192,APP200051,Auto Loan,164,355.48,158.48,0,Active
BUR000193,APP200051,Retail Card,47,6444.94,1274.28,0,Closed
BUR000194,APP200051,Credit Card,56,994.54,533.87,0,Active
BUR000195,APP200052,Retail Card,91,11108.56,2832.18,0,Closed
BUR000196,APP200052,Mortgage,8,1415.06,211.74,0,Closed
BUR000197,APP200052,Student Loan,35,2092.13,1159.73,0,Active
BUR000198,APP200052,Credit Card,147,9755.3,7848.23,0,Active
BUR000199,APP200052,Mortgage,139,15882.18,8024.32,0,Active
BUR000200,APP200053,Student Loan,136,9283.19,7262.67,0,Closed
BUR000201,APP200053,Personal Loan,129,4087.22,3467.99,0,Active
BUR000202,APP200053,Mortgage,131,18389.65,11682.47,0,Active
BUR000203,APP200053,Auto Loan,92,5392.59,2476.16,0,Active
BUR000204,APP200053,Student Loan,45,13893.31,3339.3,0,Active
BUR000205,APP200054,Credit Card,162,2404.41,668.96,7,Active
BUR000206,APP200054,Student Loan,119,2712.79,1155.45,0,Active
BUR000207,APP200054,Personal Loan,75,9661.23,6751.63,0,Active
BUR000208,APP200055,Credit Card,116,5939.37,1426.41,0,Active
BUR000209,APP200056,Personal Loan,114,14311.19,8342.42,0,Closed
BUR000210,APP200057,Auto Loan,50,2086.46,988.75,0,Active
BUR000211,APP200057,Student Loan,126,636.68,402.47,0,Closed
BUR000212,APP200057,Personal Loan,3,512.83,194.59,0,Active
BUR000213,APP200057,Mortgage,36,11721.93,5608.67,2,Closed
BUR000214,APP200058,Personal Loan,77,859.89,542.06,0,Active
BUR000215,APP200059,Student Loan,167,5835.42,2473.79,0,Active
BUR000216,APP200059,Credit Card,102,584.21,282.28,0,Closed
BUR000217,APP200060,Personal Loan,175,11660.2,5323.27,0,Active
BUR000218,APP200060,Mortgage,122,200.0,3.44,0,Active
BUR000219,APP200060,Retail Card,49,6332.24,3254.51,0,Active
BUR000220,APP200061,Retail Card,159,5092.58,340.41,0,Closed
BUR000221,APP200061,Student Loan,40,6838.47,3944.61,0,Active
BUR000222,APP200062,Personal Loan,112,9772.88,1560.61,0,Active
BUR000223,APP200063,Mortgage,58,3418.51,1527.78,0,Active
BUR000224,APP200063,Auto Loan,36,12059.4,1091.61,0,Active
BUR000225,APP200063,Personal Loan,72,1441.21,121.43,10,Active
BUR000226,APP200063,Auto Loan,88,1862.29,1206.18,0,Closed
BUR000227,APP200063,Personal Loan,100,1376.53,607.48,0,Active
BUR000228,APP200063,Auto Loan,70,8882.36,6481.47,5,Closed
BUR000229,APP200063,Mortgage,88,1136.19,119.74,0,Closed
BUR000230,APP200063,Student Loan,168,2894.81,1903.41,0,Active
BUR000231,APP200064,Student Loan,58,6578.19,5075.13,0,Closed
BUR000232,APP200064,Student Loan,64,1079.51,236.85,1,Closed
BUR000233,APP200064,Student Loan,75,2509.23,119.22,0,Active
BUR000234,APP200064,Student Loan,112,12407.01,4328.21,0,Active
BUR000235,APP200065,Mortgage,87,11517.2,6239.88,0,Active
BUR000236,APP200065,Auto Loan,73,2043.39,557.53,0,Active
BUR000237,APP200066,Student Loan,105,5276.51,1175.21,0,Active
BUR000238,APP200066,Credit Card,3,3422.66,2833.14,0,Active
BUR000239,APP200066,Auto Loan,115,11778.54,4642.06,0,Closed
BUR000240,APP200066,Retail Card,114,9809.35,2643.22,2,Active
BUR000241,APP200066,Mortgage,105,4616.79,2024.21,0,Active
BUR000242,APP200067,Auto Loan,73,13288.47,6410.24,0,Active
BUR000243,APP200067,Mortgage,56,1190.45,476.73,0,Closed
BUR000244,APP200069,Student Loan,99,1094.42,482.02,0,Closed
BUR000245,APP200069,Auto Loan,86,8076.48,6119.83,0,Closed
BUR000246,APP200069,Mortgage,37,871.68,100.55,0,Active
BUR000247,APP200070,Retail Card,90,10035.39,3932.28,2,Active
BUR000248,APP200070,Retail Card,98,5479.6,2239.21,0,Active
BUR000249,APP200071,Mortgage,75,5786.89,2484.56,0,Active
BUR000250,APP200072,Credit Card,173,7465.04,4295.34,0,Active
BUR000251,APP200073,Retail Card,1,5164.48,3838.36,0,Active
BUR000252,APP200073,Auto Loan,35,17213.51,13613.85,0,Active
BUR000253,APP200073,Credit Card,62,14960.93,583.81,0,Active
BUR000254,APP200073,Retail Card,146,5057.55,110.05,0,Active
BUR000255,APP200073,Retail Card,65,1224.37,303.14,0,Active
BUR000256,APP200073,Retail Card,136,21677.43,9592.23,0,Active
BUR000257,APP200073,Retail Card,93,14198.57,7042.22,0,Active
BUR000258,APP200075,Credit Card,172,13873.7,5986.47,1,Active
BUR000259,APP200075,Credit Card,112,2696.62,433.6,0,Active
BUR000260,APP200075,Personal Loan,107,4961.01,2913.99,0,Active
BUR000261,APP200076,Auto Loan,133,6848.89,3546.19,0,Active
BUR000262,APP200076,Personal Loan,46,2758.82,1415.55,10,Active
BUR000263,APP200076,Personal Loan,20,5109.3,907.05,0,Active
BUR000264,APP200076,Credit Card,155,8054.14,2205.69,0,Active
BUR000265,APP200076,Personal Loan,118,12938.3,6268.28,0,Active
BUR000266,APP200078,Personal Loan,98,13024.6,2307.14,0,Active
BUR000267,APP200078,Student Loan,111,13063.07,4979.47,0,Closed
BUR000268,APP200079,Personal Loan,141,1733.54,39.77,0,Closed
BUR000269,APP200079,Mortgage,175,23687.1,9793.55,0,Active
BUR000270,APP200079,Personal Loan,140,1570.67,790.34,0,Active
BUR000271,APP200079,Personal Loan,109,3020.33,1991.27,0,Active
BUR000272,APP200079,Credit Card,15,217.01,42.67,0,Active
BUR000273,APP200080,Credit Card,118,12619.21,9543.4,0,Closed
BUR000274,APP200080,Credit Card,146,3208.15,2083.17,0,Active
BUR000275,APP200080,Mortgage,35,471.16,167.37,0,Active
BUR000276,APP200081,Mortgage,83,17116.48,2409.47,0,Active
BUR000277,APP200081,Credit Card,174,26521.28,10606.75,0,Active
BUR000278,APP200081,Student Loan,63,5611.88,3381.89,0,Closed
BUR000279,APP200082,Student Loan,76,21897.51,14493.12,0,Closed
BUR000280,APP200082,Credit Card,22,14066.16,2539.71,0,Closed
BUR000281,APP200083,Mortgage,178,6087.38,914.55,0,Active
BUR000282,APP200083,Student Loan,66,12266.73,4954.63,0,Active
BUR000283,APP200083,Auto Loan,33,7660.87,2480.77,0,Closed
BUR000284,APP200084,Retail Card,144,7135.32,1104.85,0,Active
BUR000285,APP200084,Credit Card,20,6282.93,4610.21,0,Active
BUR000286,APP200084,Credit Card,53,6392.71,3090.02,0,Active
BUR000287,APP200084,Retail Card,75,9948.48,627.0,0,Active
BUR000288,APP200085,Student Loan,109,22091.2,3718.58,0,Active
BUR000289,APP200085,Credit Card,10,200.0,69.08,0,Closed
BUR000290,APP200085,Mortgage,54,9663.54,1339.6,0,Active
BUR000291,APP200085,Credit Card,165,6484.23,2112.79,1,Closed
BUR000292,APP200086,Personal Loan,154,3338.45,732.86,0,Active
BUR000293,APP200087,Auto Loan,106,6446.46,2172.66,0,Active
BUR000294,APP200088,Retail Card,103,16880.61,12579.79,0,Active
BUR000295,APP200088,Credit Card,47,10527.31,2800.97,11,Active
BUR000296,APP200088,Student Loan,92,14716.13,11376.56,0,Active
BUR000297,APP200088,Student Loan,63,7051.85,1273.31,0,Active
BUR000298,APP200089,Retail Card,145,4888.81,1189.36,0,Active
BUR000299,APP200089,Student Loan,63,5748.64,2086.79,0,Active
BUR000300,APP200089,Personal Loan,60,1559.79,760.37,0,Active
BUR000301,APP200089,Student Loan,103,7346.65,3075.29,0,Active
BUR000302,APP200089,Auto Loan,127,5747.16,2984.97,0,Active
BUR000303,APP200090,Student Loan,1,10993.97,2165.33,0,Active
BUR000304,APP200090,Student Loan,106,7126.61,1931.46,0,Active
BUR000305,APP200090,Credit Card,92,12994.64,5080.04,0,Active
BUR000306,APP200090,Student Loan,146,7479.82,4755.42,0,Active
BUR000307,APP200090,Credit Card,47,4587.99,2262.77,10,Active
BUR000308,APP200090,Auto Loan,59,3701.04,1086.97,0,Closed
BUR000309,APP200090,Credit Card,69,10692.55,4682.86,0,Active
BUR000310,APP200091,Personal Loan,53,6224.95,1383.13,8,Active
BUR000311,APP200091,Retail Card,83,3639.42,2316.52,0,Active
BUR000312,APP200091,Mortgage,122,2768.21,589.27,0,Active
BUR000313,APP200091,Personal Loan,130,1008.91,692.21,0,Active
BUR000314,APP200091,Student Loan,104,18576.99,9762.72,0,Active
BUR000315,APP200091,Mortgage,81,4434.68,1265.04,0,Active
BUR000316,APP200092,Auto Loan,39,3323.2,879.15,0,Active
BUR000317,APP200092,Student Loan,35,9379.83,3663.17,0,Active
BUR000318,APP200093,Retail Card,138,12933.56,5239.68,0,Active
BUR000319,APP200094,Mortgage,120,3009.95,1128.82,0,Active
BUR000320,APP200094,Student Loan,132,8635.85,4233.45,0,Active
BUR000321,APP200094,Mortgage,160,15871.13,6132.03,0,Active
BUR000322,APP200096,Personal Loan,145,1849.13,433.31,2,Closed
BUR000323,APP200096,Student Loan,123,2593.23,1146.33,0,Active
BUR000324,APP200096,Auto Loan,68,2176.8,607.17,0,Active
BUR000325,APP200096,Mortgage,5,10822.49,3440.13,0,Closed
BUR000326,APP200096,Personal Loan,34,555.57,106.44,0,Closed
BUR000327,APP200097,Mortgage,170,3739.09,989.95,0,Closed
BUR000328,APP200097,Auto Loan,21,211.76,78.32,0,Active
BUR000329,APP200098,Mortgage,58,1954.6,761.14,0,Active
BUR000330,APP200098,Mortgage,53,3129.78,2615.42,0,Closed
BUR000331,APP200098,Student Loan,75,1543.16,302.09,0,Active
BUR000332,APP200098,Student Loan,159,2291.23,1175.72,0,Active
BUR000333,APP200098,Credit Card,59,21569.17,5397.01,0,Active
BUR000334,APP200098,Retail Card,147,1537.73,592.36,0,Active
BUR000335,APP200098,Auto Loan,26,3425.96,764.05,0,Active
BUR000336,APP200099,Auto Loan,43,1986.1,561.02,0,Closed
BUR000337,APP200099,Personal Loan,155,200.0,91.97,0,Active
BUR000338,APP200099,Mortgage,28,7862.85,1219.02,0,Active
BUR000339,APP200099,Credit Card,79,1976.22,890.15,1,Active
BUR000340,APP200100,Student Loan,153,4128.97,787.04,0,Active
BUR000341,APP200100,Auto Loan,174,14620.21,997.63,0,Active
BUR000342,APP200100,Auto Loan,53,336.45,181.06,0,Active
BUR000343,APP200100,Student Loan,2,3629.26,2465.69,0,Active
BUR000344,APP200100,Personal Loan,102,351.93,138.88,11,Active
BUR000345,APP200101,Student Loan,19,1437.7,985.38,0,Active
BUR000346,APP200101,Auto Loan,15,15727.96,522.65,0,Closed
BUR000347,APP200102,Student Loan,52,7258.67,2143.34,0,Active
BUR000348,APP200102,Mortgage,65,4426.87,2173.34,0,Active
BUR000349,APP200102,Mortgage,29,7865.61,1227.36,0,Closed
BUR000350,APP200102,Mortgage,94,272.29,161.63,1,Active
BUR000351,APP200103,Retail Card,82,44887.19,11995.03,0,Active
BUR000352,APP200103,Credit Card,107,604.74,370.62,0,Active
BUR000353,APP200103,Student Loan,171,2337.04,813.47,0,Active
BUR000354,APP200103,Student Loan,18,2519.39,1079.94,0,Active
BUR000355,APP200103,Personal Loan,153,5062.57,1728.09,0,Closed
BUR000356,APP200104,Personal Loan,55,339.6,105.78,0,Active
BUR000357,APP200104,Personal Loan,136,9576.08,4650.61,0,Active
BUR000358,APP200104,Personal Loan,123,18313.57,10266.47,0,Active
BUR000359,APP200104,Personal Loan,36,3544.01,1713.16,0,Active
BUR000360,APP200104,Auto Loan,150,22235.99,16920.11,0,Active
BUR000361,APP200104,Student Loan,134,3212.72,1358.29,0,Active
BUR000362,APP200105,Student Loan,6,13191.26,7471.38,0,Closed
BUR000363,APP200105,Student Loan,93,258.83,39.83,0,Closed
BUR000364,APP200105,Mortgage,119,21937.59,13209.26,0,Active
BUR000365,APP200106,Retail Card,31,2903.17,1529.2,0,Closed
BUR000366,APP200106,Auto Loan,6,343.05,184.68,0,Active
BUR000367,APP200106,Personal Loan,139,6758.49,3751.21,0,Active
BUR000368,APP200106,Mortgage,67,10842.59,5756.83,0,Active
BUR000369,APP200106,Credit Card,38,30818.88,8916.66,2,Active
BUR000370,APP200107,Mortgage,115,978.55,179.11,0,Closed
BUR000371,APP200107,Auto Loan,51,10118.69,1422.27,0,Closed
BUR000372,APP200107,Personal Loan,173,3098.5,1425.86,0,Active
BUR000373,APP200107,Auto Loan,76,4395.95,1923.63,0,Active
BUR000374,APP200107,Student Loan,155,200.0,109.17,0,Active
BUR000375,APP200107,Personal Loan,36,846.33,537.37,1,Active
BUR000376,APP200107,Personal Loan,64,5410.83,2208.89,0,Active
BUR000377,APP200108,Mortgage,86,5871.24,3234.02,0,Active
BUR000378,APP200108,Personal Loan,171,1807.09,930.46,0,Closed
BUR000379,APP200108,Retail Card,146,4336.69,2080.63,0,Active
BUR000380,APP200108,Credit Card,152,2637.74,1294.33,0,Active
BUR000381,APP200109,Retail Card,137,7045.15,1777.7,0,Active
BUR000382,APP200109,Credit Card,156,1213.83,1049.6,0,Active
BUR000383,APP200109,Credit Card,69,3515.06,975.34,0,Active
BUR000384,APP200109,Retail Card,147,253.57,53.93,0,Closed
BUR000385,APP200110,Retail Card,56,2818.79,1166.83,0,Active
BUR000386,APP200110,Student Loan,103,378.75,272.43,0,Closed
BUR000387,APP200110,Auto Loan,42,5539.31,944.13,0,Closed
BUR000388,APP200110,Credit Card,102,260.36,37.1,0,Closed
BUR000389,APP200111,Credit Card,120,6832.26,1384.27,0,Closed
BUR000390,APP200111,Auto Loan,174,14611.48,8149.68,0,Active
BUR000391,APP200112,Personal Loan,100,2694.75,265.32,0,Closed
BUR000392,APP200112,Personal Loan,125,1097.45,405.85,0,Active
BUR000393,APP200112,Auto Loan,106,28577.34,3173.83,0,Active
BUR000394,APP200112,Personal Loan,33,5792.48,5077.72,0,Active
BUR000395,APP200112,Mortgage,107,200.0,101.41,0,Active
BUR000396,APP200112,Credit Card,157,480.6,212.18,0,Closed
BUR000397,APP200113,Student Loan,51,1025.75,420.84,0,Active
BUR000398,APP200113,Auto Loan,168,3993.1,2504.41,0,Closed
BUR000399,APP200113,Student Loan,130,13729.94,7271.47,9,Active
BUR000400,APP200113,Mortgage,39,2307.24,1806.32,0,Active
BUR000401,APP200113,Retail Card,117,5715.04,2817.83,1,Active
BUR000402,APP200114,Auto Loan,137,16707.05,4825.04,0,Active
BUR000403,APP200114,Auto Loan,83,2170.38,1764.34,0,Closed
BUR000404,APP200114,Retail Card,66,9266.94,1690.63,8,Closed
BUR000405,APP200114,Mortgage,70,10954.44,4508.79,8,Closed
BUR000406,APP200114,Mortgage,150,7539.08,4578.24,0,Active
